,phi0,p,a,P_load,u,v,U,V,L-a-u,L-U,lambda_P
0,20.0,0.4226182617406994,0.005230268932802195,4.1597838342667135,0.0004740012740637855,0.0012681458715934563,0.0007894250859859695,0.0030570032016222553,0.00429572979313402,0.00921057491401403,2.4958703005600276
1,21.0,0.4305110968082951,0.005148117183023321,4.16579343524026,0.0005680271463048949,0.0013836218485467858,0.000909962893943731,0.003228542047445781,0.004283855670671784,0.009090037106056268,2.499476061144155
2,22.0,0.4383711467890774,0.005069383442993199,4.172164884030723,0.0006566746822482877,0.0014960352280156733,0.0010258076442900004,0.0033950596903143827,0.004273941874758514,0.00897419235571,2.503298930418433
3,23.0,0.44619781310980877,0.004993826326588627,4.178945416027922,0.000740385325880894,0.0016055670902575415,0.0011373702815461182,0.00355681048632496,0.00426578834753048,0.008862629718453882,2.5073672496167525
4,24.0,0.45399049973954675,0.0049212304875245316,4.186175187395577,0.0008195525790370131,0.001712375279331006,0.0012450153086712267,0.0037140200476290172,0.004259216933438456,0.008754984691328774,2.5117051124373457
5,25.0,0.4617486132350339,0.004851402865959791,4.193888594324976,0.0008945289842733004,0.0018165979881836192,0.0013490676547618118,0.0038668894343993937,0.004254068149766909,0.008650932345238189,2.5163331565949854
6,26.0,0.4694715627858908,0.004784169606112198,4.202115336668025,0.000965631852623247,0.0019183566819374852,0.0014498183002763705,0.004015598598602338,0.004250198541264555,0.00855018169972363,2.521269202000815
7,27.0,0.4771587602596084,0.004719373503616344,4.210881281601849,0.0010331480009998046,0.0020177585013451387,0.00154752892281227,0.004160309236709498,0.004247478495383852,0.00845247107718773,2.526528768961109
8,28.0,0.48480962024633706,0.0046568718752323,4.220209169570061,0.0010973377005030266,0.002114898253947368,0.00164243576324653,0.0043011671709063375,0.004245790424264674,0.00835756423675347,2.532125501742036
9,29.0,0.49242356010346705,0.004596534768348706,4.230119194893856,0.001158437990318427,0.0022098600752833934,0.0017347528657179377,0.004438304350775614,0.004245027241332867,0.008265247134282063,2.5380715169363133
10,30.0,0.49999999999999994,0.0045382434461600325,4.2406294861223035,0.0012166654773200303,0.0023027188238656142,0.001824674810547238,0.00457184054694563,0.004245091076519937,0.008175325189452763,2.5443776916733816
11,31.0,0.5075383629607041,0.0044818890982403345,4.2517565056894595,0.0012722187155325285,0.002393541259676465,0.001912379033387971,0.004701884792794526,0.004245892186227137,0.008087620966612028,2.5510539034136754
12,32.0,0.5150380749100542,0.004427371736740663,4.2635153842718045,0.0013252802399084003,0.002482387045388246,0.001998027804329375,0.0048285366186087446,0.004247348023350937,0.008001972195670625,2.5581092305630824
13,33.0,0.5224985647159488,0.004374599246487555,4.275920202044782,0.001376018313781516,0.0025693096014414323,0.002081769925683729,0.004951887113625879,0.004249382439730929,0.00791823007431627,2.565552121226869
14,34.0,0.5299192642332049,0.0043234865634859225,4.2889842265718565,0.0014245884376857913,0.002654356839898652,0.002163742195605005,0.005072019844451107,0.004251924998828286,0.007836257804394994,2.5733905359431133
15,35.0,0.5372996083468238,0.004273954961186711,4.3027201151418115,0.0014711346581228035,0.002737571797156703,0.0022440706756543414,0.00518901165291905,0.004254910380690486,0.007755929324345659,2.5816320690850865
16,36.0,0.544639035015027,0.0042259314276984474,4.317140087868607,0.001515790707707007,0.0028189931818106756,0.0023228717933342262,0.005302933352211098,0.004258277864594546,0.007677128206665774,2.5902840527211635
17,37.0,0.5519369853120581,0.004179348120147588,4.332256076684247,0.0015586810024460366,0.0028986558509714066,0.002400253304994361,0.0054138503366584975,0.004261970877406375,0.007599746695005639,2.5993536460105475
18,38.0,0.5591929034707468,0.004134141884806456,4.348079854416496,0.0015999215173950884,0.0029765912259602186,0.002476315140038095,0.005521823117965759,0.004265936597798455,0.007523684859961905,2.608847912649897
19,39.0,0.5664062369248328,0.004090253833546849,4.364623147394375,0.0016396205582910944,0.003052827656399894,0.0025511501437631163,0.005626907798420693,0.004270125608162057,0.007448849856236884,2.6187738884366243
20,40.0,0.573576436351046,0.004047628968744139,4.3818977344247365,0.0016778794438417908,0.00312739074018837,0.0026248447332720823,0.005729156489905407,0.0042744915874140706,0.007375155266727918,2.629138640654842
21,41.0,0.5807029557109397,0.004006215850031626,4.399915534499228,0.001714793110959783,0.0032003036055999,0.002697479478532225,0.0058286176860980286,0.004278991039008591,0.007302520521467775,2.6399493206995364
22,42.0,0.5877852522924731,0.003965966297346011,4.418688685200949,0.0017504506532841288,0.003271587160745917,0.002769129618739711,0.005925336594087849,0.00428358304936986,0.007230870381260289,2.6512132111205684
23,43.0,0.5948227867513411,0.003926835125562034,4.438229613462072,0.001784935801731352,0.0033412603148003043,0.002839865522565412,0.006019355430669427,0.004288229072706614,0.007160134477434589,2.6629377680772426
24,44.0,0.6018150231520483,0.0038887799067214494,4.458551100065802,0.00181832735449668,0.00340934017471156,0.0029097530995561634,0.006110713687788373,0.00429289273878187,0.007090246900443837,2.6751306600394806
25,45.0,0.6087614290087205,0.00385176075644938,4.479666339074578,0.001850699562829493,0.003475842220560797,0.0029788541688852903,0.00619944837095438,0.004297539680721127,0.0070211458311147095,2.6877998034447463
26,46.0,0.6156614753256582,0.003815740141640633,4.501588993194083,0.0018821224779936533,0.0035407804622561833,0.0030472267907472204,0.006285594213888132,0.004302137380365714,0.00695277320925278,2.7009533959164496
27,47.0,0.6225146366376195,0.0037806827069092517,4.524333245940856,0.001912662264058008,0.003604167579863491,0.0031149255649385024,0.006369183872209158,0.00430665502903274,0.006885074435061498,2.714599947564513
28,48.0,0.6293203910498374,0.0037465551176399233,4.547913851365033,0.001942381480520625,0.003666015049546261,0.003182001900537263,0.0064502480985862195,0.004311063401839452,0.006817998099462737,2.7287483108190194
29,49.0,0.636078220277764,0.0037133259177710015,4.5723461819851945,0.0019713393382262585,0.0037263332568121294,0.0032485042600591324,0.006528815901443422,0.00431533474400274,0.006751495739940868,2.743407709191116
30,50.0,0.6427876096865393,0.0036809654006867104,4.597646275513801,0.0019995919315789557,0.0037851315985314806,0.003314478381019401,0.0066049146890407575,0.004319442667734334,0.006685521618980599,2.75858776530828
31,51.0,0.6494480483301837,0.003649445491805913,4.623830880889017,0.002027192449659463,0.0038424185749960003,0.0033799674774470123,0.006678570400510314,0.004323362058534624,0.006620032522552988,2.7742985285334094
32,52.0,0.6560590289905073,0.0036187396416350807,4.650917504076736,0.0020541913685256166,0.003898201873119072,0.0034450124235722,0.006749807625230451,0.004327068989839302,0.0065549875764278,2.7905505024460413
33,53.0,0.6626200482157375,0.003588822728206292,4.678924454066521,0.0020806366266865927,0.003952488441734866,0.0035096519216288175,0.006818649711745215,0.004330540645107115,0.006490348078371183,2.807354672439912
34,54.0,0.6691306063588581,0.003559670967954547,4.707870889451431,0.002106573785500154,0.00400528455983403,0.0035739226554773454,0.006885118867292378,0.004333755246545299,0.006426077344522655,2.824722533670858
35,55.0,0.6755902076156602,0.003531261834201711,4.737776865958334,0.002132046176027592,0.0040565958984651864,0.0036378594315454272,0.006949236248871213,0.004336691989770697,0.006362140568454573,2.842666119575
36,56.0,0.6819983600624985,0.0035035739825141584,4.768663385275616,0.002157095033701926,0.004106427576944136,0.0037014953084094247,0.007011022046674674,0.004339330983783916,0.0062985046915905755,2.861198031165369
37,57.0,0.6883545756937539,0.003476587182286559,4.800552445513133,0.002181759622005822,0.004154784213933253,0.0037648617161862167,0.007070495560613302,0.004341653195707619,0.0062351382838137836,2.880331467307879
38,58.0,0.6946583704589973,0.0034502822539788803,4.833467093621663,0.0022060773462179387,0.004201669973885333,0.0038279885667714467,0.007127675270574426,0.004343640399803181,0.0061720114332285535,2.9000802561729975
39,59.0,0.7009092642998508,0.0034246410114992616,4.867431480095752,0.002230083858168889,0.004247088609288983,0.00389090435584755,0.007182578900989557,0.0043452751303318495,0.00610909564415245,2.920458888057451
40,60.0,0.7071067811865476,0.0033996462092821585,4.902470916285688,0.002253813152841914,0.004291043499099765,0.003953636257482993,0.007235223480217582,0.004346540637875928,0.006046363742517007,2.9414825497714125
41,61.0,0.7132504491541815,0.0033752814936617672,4.938611934649165,0.002277297657562927,0.004333537683697497,0.004016210212058043,0.0072856253951969745,0.004347420848775306,0.005983789787941957,2.9631671607894985
42,62.0,0.7193398003386512,0.003351531358184653,4.975882352282884,0.0023005683144446034,0.004374573896670505,0.0040786510081763875,0.007333800441770854,0.004347900327370743,0.005921348991823613,2.98552941136973
43,63.0,0.7253743710122875,0.003328381102545016,5.014311338086811,0.0023236546566777596,0.004414154593692955,0.0041409823591547,0.007379763871045837,0.004347964240777225,0.0058590176408453,3.008586802852086
44,64.0,0.7313537016191705,0.0033058167948603534,5.053929483931158,0.0023465848792020468,0.00445228197873107,0.004203226974624875,0.00742353043210735,0.0043475983259376,0.0057967730253751255,3.0323576903586944
45,65.0,0.737277336810124,0.003283825237036632,5.09476888021609,0.0023693859042323564,0.004488958027787108,0.004265406627732326,0.007465114411380881,0.0043467888587310115,0.005734593372267674,3.0568613281296537
46,66.0,0.7431448254773942,0.0032623939329994075,5.136863196239169,0.0023920834420686973,0.0045241845103658335,0.004327542218369069,0.007504529668898222,0.004345522624931895,0.0056724577816309315,3.082117917743501
47,67.0,0.7489557207890021,0.0032415110595921497,5.1802477658141655,0.002414702047573555,0.004557963008826494,0.004389653832840802,0.0075417896717008305,0.004343786892834296,0.005610346167159198,3.1081486594884984
48,68.0,0.754709580222772,0.003221165439965789,5.224959678617353,0.002437265172663296,0.004590294935765574,0.004451760800334433,0.007576907524590376,0.004341569387370915,0.005548239199665567,3.134975807170411
49,69.0,0.7604059656000309,0.0032013465193030445,5.271037877776213,0.0024597952151240166,0.004621181549556283,0.004513881746520444,0.007609895998412551,0.00433885826557294,0.005486118253479556,3.1626227266657274
50,70.0,0.7660444431189779,0.0031820443427402023,5.318523264257402,0.0024823135640323615,0.004650623968156931,0.004576034644599926,0.007640767556043445,0.004335642093227436,0.005423965355400074,3.1911139585544404
51,71.0,0.77162458338772,0.003163249535365377,5.367458808660114,0.0025048406420340443,0.004678623181285347,0.004638236864083057,0.007669534376229218,0.004331909822600579,0.005361763135916943,3.2204752851960676
52,72.0,0.7771459614569708,0.003144953284188243,5.417889671075088,0.002527395944706948,0.004705180061043758,0.0047005052175657204,0.007696208375414831,0.004327650771104809,0.00529949478243428,3.250733802645052
53,73.0,0.7826081568524139,0.003127147321990417,5.469863329731421,0.0025499980772142085,0.0047302953710670415,0.004762856005755146,0.007720801227683547,0.0043228546007953745,0.0052371439942448545,3.281917997838852
54,74.0,0.7880107536067219,0.0031098239129792324,5.523429719222502,0.0025726647884308767,0.004753969774255465,0.00482530506098004,0.007743324382915421,0.004317511298589891,0.00517469493901996,3.3140578315335008
55,75.0,0.7933533402912352,0.003092975840180342,5.5786413791802065,0.002595413002709486,0.004776203839142991,0.0048878677894091845,0.007763789083261313,0.004311611157110173,0.005112132210590816,3.3471848275081233
56,76.0,0.7986355100472928,0.0030765963945171915,5.63555361435298,0.0026182588494332946,0.004796998044943661,0.004950559212193784,0.007782206378019831,0.004305144756049514,0.005049440787806217,3.3813321686117876
57,77.0,0.8038568606172174,0.0030606793655364455,5.694224667142757,0.002641217690489044,0.004816352785307419,0.005013394005739555,0.0077985871369919985,0.004298102943974511,0.0049866059942604455,3.4165348002856537
58,78.0,0.8090169943749475,0.003045219033750213,5.754715903765291,0.002664304145776358,0.004834268370808477,0.005076386541309141,0.007812942062380165,0.004290476820473429,0.004923613458690859,3.4528295422591744
59,79.0,0.8141155183563191,0.003030210164577743,5.817092015321481,0.0026875321168591173,0.004850745030182741,0.0051395509241539865,0.007825281699291673,0.00428225771856314,0.004860449075846014,3.490255209192888
60,80.0,0.8191520442889918,0.003015648003879145,5.8814212352094755,0.0027109148088479817,0.004865782910317969,0.005202901032368597,0.007835616444893941,0.004273437187272874,0.0047970989676314035,3.5288527411256845
